,0,1,2
0,bomeo,1,1.3434748918922963
1,sodium monofluorophosphate aqua,2,1.2502045625408642
2,silicon,30,1.323612402189808
3,empetrum sibiricum extract,1,1.2453310177346257
4,peg-90m,2,1.3629050434895618
5,acacia arabica bark powder,40,1.0362597817635346
6,sodium dodecylbezenesulfonate,1,1.4226315036464634
7,potassium citrate,420,1.165982879505607
8,calcium fluoride,37,1.151744916513517
9,niacinamide,12,1.1304749768523419
10,salvadora persica extract,1,1.0097587941791923
11,total_pack_size_ml_g,14847,1.2288678121178607
12,ocimum basilicum leaf,12,1.1057033324542165
13,tulsi,4,1.1921580437149273
14,zinc sulfate sorbitol,1,0.9789197982534406
15,solvents,2,1.5509719713683012
16,sodium laurilsulfate,1,1.4000143785602253
17,squalane,4,1.159580977953677
18,clinacanthus nutans,8,1.0222200880586216
19,triticum vulgare starch,29,1.29636819652031
20,resin fibre,2,1.0576659352717885
21,coconut alcohol,3,1.2547326622036115
22,purified,559,1.2597277113123644
23,sodium lauryl sulphate,3,1.2174950233938302
24,chalk,17,1.386736042204848
25,sodium saccharin cleansing aid,2,1.190273412238413
26,natural extracts,4,1.3308231899123468
27,country_Chile,122,1.2755735692629073
28,thakkolam,1,0.8995928153651771
29,ci 73360 cooling agent,1,1.1696070952851465
30,vaccinium vitis-idaea seed oil,1,1.2220079714366712
31,sophora twig extract,1,1.081483747120199
32,lysozyme and/or ovum,3,1.6855077878475697
33,sodium lauroyl glycinate,2,1.3491538178069629
34,country_Venezuela,41,1.2616227352551257
35,bleaching agents,3,1.1024988860353158
36,creatine,3,1.3290516006635449
37,trichlorogalactose,3,1.2444416360169515
38,sodium phytate,111,1.188283447795262
39,mentha piperita american herb oil,2,1.4717808608735234
40,viscosity modifier,1,1.2158138519395043
41,ci 77480,13,1.2863675487202852
42,symphytum officinale extract,2,1.4797483526119246
43,sodium saccharides,1,1.1800324784021132
44,tricalcium citrate,1,1.4811895965652229
45,disodium cocoyl glutamate and/or amino acids,3,1.2859299838116585
46,country_India,665,1.022461621668847
47,aesculus hippocastanum bark extract,10,1.4197170105386245
48,titanium dioxide night,3,1.252058844057422
49,country_UAE,76,1.2976769936536228
50,l-limonene rambas,2,1.6269763106896054
51,country_Slovenia,10,1.2530290004137208
52,tspp,5,0.9550405395181938
53,titanium dioxide may contain,2,1.297664856641683
54,premium,10,1.3453878233570107
55,paeonia suffruticosa bark extract,3,1.0940602673223667
56,sorbitol liquid,5,1.4037085961864677
57,rouge covalac w3514,1,1.3720006137655656
58,oxdy-8,1,1.3840737144142128
59,country_France,907,1.2804613344325075
60,15% w/v of fluoride ion,2,1.135127852205602
61,salvadora persica stem extract,72,1.1563953136140945
62,palm glyceride,2,1.3158835943898177
63,white film,26,0.9826859100506737
64,vitex negundo extract) powders,1,1.2562191948098527
65,prickly ash,16,1.2827583339084005
66,country_Israel,76,1.3865612722432359
67,alcloxa addtives,1,1.2139244620058345
68,germ all plus,1,0.9283177667225558
69,garcinia cambogia fruit extract,1,0.944516882033156
